127.0.0.1 - - [22/May/2025:09:26:26 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:27 +0530] "GET /HotelWebApp/ HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:27 +0530] "GET /HotelWebApp/css/style.css HTTP/1.1" 200 5098
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:27 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:29 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:29 +0530] "GET /HotelWebApp/index.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:37 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:54 +0530] "POST /HotelWebApp/addReservation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:54 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [22/May/2025:09:26:57 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [22/May/2025:09:27:00 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [22/May/2025:09:27:00 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [22/May/2025:09:27:03 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [22/May/2025:09:27:04 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [22/May/2025:09:27:05 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [22/May/2025:09:29:08 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [22/May/2025:09:29:13 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [22/May/2025:09:29:16 +0530] "GET /HotelWebApp/index.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [22/May/2025:09:29:22 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [22/May/2025:09:29:25 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [22/May/2025:09:29:28 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [22/May/2025:09:29:45 +0530] "POST /HotelWebApp/reports HTTP/1.1" 200 2823
0:0:0:0:0:0:0:1 - - [22/May/2025:09:31:10 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
